rxnID	new_gpr
r_3888	YAL026C
r_3828	YAL026C
r_3892	YAL026C
r_3606	YCR098C
r_1236	( YKL188C and YPL147W )
r_2107	( YIL013C or YOR011W )
r_1096	YNL065W or YNL2417W or YKL217W or YGR260W
r_1103	YKL217W or YGR260W
r_1121	YDL019C or YHR073W
r_1122	YDL019C or YHR073W
r_1123	YDL019C or YHR073W
r_1124	YDL019C or YHR073W
r_1137	YKL217W
r_1585	YNL065W or YNL2417W or YKL217W or YGR260W
r_1609	YMR241W
r_1637	YBR220C
r_1640	YER056C or YER060W or YER060W-A
r_1673	YBR132C
r_1676	YDL019C or YHR073W
r_1677	YDL019C or YHR073W
r_1678	YDL019C or YHR073W
r_1679	YDL019C or YHR073W
r_1680	YDL019C or YHR073W
r_1681	YDL019C or YHR073W
r_1728	YAL022C
r_1731	YAL022C
r_1732	YAL022C
r_1743	YIL134W
r_1770	YBR041W or YBR0411
r_1775	YBR041W or YBR0411
r_1777	YKL217W or YGR260W
r_1794	YNL065W
r_1819	YER056C or YER060W or YER060W-A
r_1822	YAL022C
r_1823	YAL022C
r_1835	YBR041W or YBR0411
r_1836	YBR041W or YBR0411
r_1837	YBR147W or YGR191W
r_1842	YER056C
r_1874	YDR046C or YOR348C or YPL265W
r_1895	YKR039W
r_1898	YDR046C
r_1905	YOR348C
r_1981	YBR041W or YBR0411
r_2004	YDR046C or YOL020W
r_2075	YAL022C
r_2082	YBR069C or YDR046C or YOL020W
r_2086	YBR069C
r_2087	YBR069C
r_2093	YBR069C or YDR046C
r_2101	AGOS_AFR622W
r_2186	YBR041W or YBR0411
r_2192	YBR041W or YBR0411
r_2229	YNL065W
r_2230	YNL065W
r_4040	YMR056C
r_4051	YDL019C or YHR073W
r_4346	YAL022C
r_4356	YDL210W or YOR348C
r_4358	YBL042C
r_4360	YBL042C
r_4365	YNL065W
r_4371	YAL022C
r_4373	YOR153W
r_4389	YOR153W
r_4392	YGR289C or YJR160C or YDL247W
r_4399	YJR152W or YKR093W
r_4401	YJR152W or YKR093W
r_4419	YKR039W
r_4421	YIL166C
r_4423	YJR152W or YKR093W
r_4425	YJR152W or YKR093W
r_4426	YJR152W or YKR093W
r_4430	YJR152W or YKR093W
r_4431	YJR152W or YKR093W
r_4438	YJR152W or YKR093W
r_4440	YDR046C or YGR055W or YHL036W
r_4441	YBR069C or YDR046C
r_4443	YOR153W
r_4449	YJR152W or YKR093W
r_4454	YBL042C
r_4462	YIL166C
r_4464	YOR153W
r_4472	YJR152W or YKR093W
r_4474	YJR152W or YKR093W
r_4479	YJR152W or YKR093W
r_4482	YDR046C or YOL020W or YOR348C or YPL265W
r_4606	YER166W
r_4607	YML123C or YCR037C
r_4615	YDR508C
r_4616	YBL042C
r_4618	YJL212C
r_4625	YIL166C
r_4626	YIL166C
r_4686	YNL065W
r_4698	YNL065W or YNL2417W or YKL217W or YGR260W
